custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,inccat,debtinc,creddebt,othdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,longten,tollfree,tollmon,lntollmon,tollten,equip,equipmon,equipten,lnequipten,callcard,cardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
3964-QJWTRG-NPN,1,2,1,20,2,Septiembre,15,3,1,1,0,1,0,31,2,11.1,1.200909,2.240091,1,1,0,-1,-1,3,0,0,0,0,0,0,0,0,0,2,0,1,2,1,0,14.3,1,0,0,8,4,22,0,1,1,0,0,0,0,1,0,0,9,6,1,0,1,3,1,1,0,2,2,5,3,1,0,3,2,5,81.66,4,67.8,0,3,5,1,6.5,34.4,1,29,3.36729582998647,161.05,1,29.5,126.1,4.83707524297087,1,14.25,60,4.0943445622221,0,0, ,0, ,1,1,1,0,0,1,1,1,0,1,13,1,1,0,0,0,1,1,0,0,0,1,0
0648-AIPJSP-UVM,5,5,0,22,2,Mayo,17,4,2,0,0,1,0,15,1,18.6,1.22202,1.56798,1,1,0,-1,-1,2,6,0,0,0,0,0,0,6,1,3,2,1,2,1,1,6.8,1,0,0,1,1,29,1,0,0,1,0,0,1,0,1,1,9,4,1,0,0,2,4,1,0,4,2,4,1,3,0,4,2,5,42.6,2,34.94,1,1,39,0,8.9,330.6,0,0, ,0,1,54.85,1975,7.58832367733522,1,16,610,6.41345895716736,1,45.65,3.82100360704098,1683.55,7.42865993818979,1,1,1,4,1,0,1,0,1,1,18,1,1,1,1,1,1,1,1,1,0,0,0
5195-TLUDJE-HVO,3,4,1,67,6,Junio,14,2,2,0,16,5,0,35,2,9.9,.92862,2.53638,0,4,1,13,2,3,3,2,1,0,0,0,0,0,1,1,30,5,3,1,1,18.8,1,0,1,4,3,24,1,0,1,1,1,0,0,0,0,0,2,5,1,0,0,2,1,4,0,35,5,4,1,3,0,25,5,9,184.22,7,175.75,0,3,65,0,28.4,1858.35,0,0, ,0,0,0,0, ,1,23,1410,7.25134498337221,0,0, ,0, ,1,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,1,0,0,0
4459-VLPQUH-3OL,4,3,0,23,2,Mayo,16,3,2,0,0,1,0,20,1,5.7,.0228,1.1172,1,2,1,18,4,5,0,0,0,0,0,0,0,0,1,3,3,2,3,1,1,8.7,1,0,1,1,1,38,1,0,0,0,0,0,0,0,0,0,9,3,0,0,0,2,1,4,0,5,2,3,2,4,0,5,2,17,340.99,1,18.42,1,1,36,0,6,199.45,0,0, ,0,0,0,0, ,1,21,685,6.52941883826223,0,0, ,0, ,1,0,0,2,0,0,0,0,1,1,26,1,1,1,0,1,1,1,0,1,1,0,0
8158-SMTQFB-CNO,2,2,0,26,3,Julio,16,3,2,0,1,1,0,23,1,1.7,.214659,.176341,0,1,1,13,2,4,0,0,0,0,0,0,0,0,0,2,3,2,1,0,1,10.6,1,0,1,6,3,32,0,0,0,0,0,1,0,1,0,0,9,4,0,0,0,4,2,1,0,8,3,1,3,2,0,9,3,8,255.1,7,252.73,1,3,21,0,3.05,74.1,1,16.5,2.80336038090653,387.7,0,0,0, ,1,17.25,360,5.88610403145016,1,19.05,2.94706710157271,410.8,6.0181064780544,0,1,0,3,1,1,1,1,0,1,27,1,1,1,0,1,0,1,0,0,0,1,0
9662-FUSYIM-1IV,4,4,0,64,5,Agosto,17,4,3,0,22,5,0,107,4,5.6,1.060584,4.931416,0,2,0,-1,-1,1,11,1,1,0,0,2,0,7,1,1,31,5,0,-1,-1,-1,-1,-1,0,8,4,23,0,0,0,0,1,0,0,1,0,0,9,4,0,0,0,2,4,1,1,18,5,3,3,2,1,9,3,11,228.27,0,0,0,3,28,0,8.1,264.9,1,26.75,3.28653447334202,726.6,1,35.5,970.95,6.87827497365963,1,28.25,765,6.63987583382654,0,0, ,0, ,0,0,1,0,1,1,1,1,0,1,21,1,1,1,1,0,0,0,0,0,0,1,0
7432-QKQFJJ-K72,2,5,1,52,5,Julio,14,2,1,0,10,3,0,77,4,1.9,.501809,.961191,0,2,0,-1,-1,1,2,0,2,0,0,0,0,0,0,3,21,4,2,1,0,25.6,2,1,0,4,3,32,1,0,0,1,0,0,1,1,0,0,9,4,0,0,0,5,3,1,1,3,2,2,3,4,0,2,2,20,822.32,5,130.14,0,2,15,0,3.8,44.8,0,0, ,0,0,0,0, ,0,0,0, ,0,0, ,0, ,0,0,0,1,0,0,1,0,0,1,19,1,1,1,0,1,1,0,0,0,0,0,0
8959-RZWRHU-ST8,3,4,1,44,4,Octubre,16,3,1,0,11,4,0,97,4,14.4,5.950368,8.017632,0,5,1,15,3,2,10,0,2,0,0,0,0,8,1,3,20,4,1,1,0,55.5,3,0,1,5,3,31,0,0,0,0,1,0,0,0,0,0,2,6,0,0,1,1,1,4,0,25,5,3,1,4,0,20,5,6,592.7,7,712.1,0,3,46,0,14.85,612.7,1,24,3.17805383034795,1110.4,0,0,0, ,1,14.5,630,6.44571981938558,0,0, ,0, ,1,0,0,0,1,1,1,1,0,1,13,1,1,1,0,0,0,0,0,1,0,0,0
9124-DZALHM-S6I,2,3,1,66,6,Octubre,12,2,1,0,15,4,1,16,1,2.6,.102336,.313664,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,1,21,4,1,1,1,8.6,1,0,0,4,3,25,1,1,0,1,1,0,0,0,0,0,9,3,1,1,1,3,4,2,0,26,5,2,4,3,0,17,5,12,326.59,6,141.24,1,3,53,0,21.05,1074.35,0,0, ,0,0,0,0, ,1,15.5,830,6.72142570079064,0,0, ,0, ,1,0,0,0,0,0,0,0,0,1,25,1,1,1,0,0,0,0,0,0,1,0,0
3512-MUWBGY-52X,2,2,0,47,4,Julio,11,1,6,0,19,5,0,84,4,4.1,1.770216,1.673784,0,4,0,-1,-1,2,1,1,0,0,0,0,0,0,1,1,19,4,4,1,0,41,3,1,0,1,1,29,1,1,0,0,0,0,0,0,0,0,9,3,1,1,1,5,4,1,0,2,2,2,2,1,0,2,2,11,199.64,5,111.17,1,3,3,1,3.65,20.05,0,0, ,0,0,0,0, ,0,0,0, ,0,0, ,0, ,0,0,0,0,0,0,0,0,0,1,21,1,1,1,0,0,0,0,0,0,0,0,0
5621-QSZPSF-NF2,4,1,1,59,5,Julio,19,4,1,0,8,3,0,47,2,8.6,1.358112,2.683888,0,3,0,-1,-1,1,7,3,0,0,0,0,0,4,0,2,14,3,3,1,0,28,2,0,1,1,1,17,1,0,0,1,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,16,5,1,1,4,0,17,5,11,488.97,7,322.07,0,3,50,1,8.55,446.55,0,0, ,0,1,31.2,1568.35,7.35777939028747,1,19,930,6.8351845861473,0,0, ,0, ,1,0,0,3,0,1,0,0,1,1,26,1,1,1,0,1,1,0,0,0,0,0,0
8241-PWPONH-62O,2,4,1,33,3,Octubre,8,1,2,0,4,2,0,19,1,.9,.130131,.040869,0,4,1,9,1,5,6,0,0,0,0,0,0,6,0,2,5,2,2,1,1,9.3,1,0,1,4,3,28,1,0,0,1,0,0,0,1,0,0,1,4,0,0,0,3,2,1,0,6,3,2,2,3,0,2,2,14,338.26,2,55.17,0,3,9,1,3.6,37,0,0, ,0,0,0,0, ,0,0,0, ,0,0, ,0, ,0,0,0,0,0,0,0,0,0,1,27,0,1,1,0,0,0,0,0,0,0,0,0
8795-FYOXCT-P09,5,2,0,44,4,Marzo,10,1,1,0,12,4,0,73,3,2.8,1.250928,.793072,0,5,0,-1,-1,1,1,0,1,0,0,0,0,0,1,3,9,3,1,1,1,38.5,2,0,1,1,1,25,1,0,0,0,0,0,0,0,0,0,9,4,1,0,1,4,4,1,1,1,1,1,3,1,0,1,1,12,534.36,5,198.39,0,3,5,0,6.75,29.9,0,0, ,0,0,0,0, ,1,7,30,3.40119738166216,0,0, ,0, ,0,0,0,1,1,1,1,1,0,1,21,1,0,1,0,1,0,0,0,0,0,0,0
1705-NMIQNO-IC4,3,2,0,58,5,Enero,18,4,1,0,3,2,0,63,3,10.5,1.924965,4.690035,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,4,32,5,0,-1,-1,-1,-1,-1,0,3,2,16,0,0,1,1,0,0,0,0,0,0,9,4,0,0,1,4,3,4,0,25,5,3,4,1,0,17,5,10,593.5,5,384.94,1,1,58,0,12.1,680.75,1,30.75,3.42588999425253,1776.7,0,0,0, ,1,24.5,1415,7.25488481007734,0,0, ,0, ,1,0,0,0,1,0,1,1,0,1,21,1,1,1,0,1,0,0,0,1,0,0,0
9205-PAZEXY-90Q,2,1,1,72,6,Diciembre,20,5,4,1,27,5,1,17,1,9.8,1.276156,.389844,0,4,1,17,4,2,0,0,0,0,0,0,0,0,1,1,14,3,1,1,1,9.3,1,0,0,10,5,32,0,0,0,1,0,0,0,0,0,1,9,3,1,0,1,3,2,2,0,33,5,4,4,3,1,26,5,12,233.17,3,39.93,1,3,67,0,13.9,954.05,0,0, ,0,1,38.55,2580.75,7.8558353333457,1,23.25,1525,7.32974968904151,0,0, ,0, ,1,0,0,0,0,0,1,0,1,1,24,1,1,1,0,1,0,1,1,1,0,0,0
4225-PZZDIY-IBH,3,1,1,66,6,Diciembre,13,2,6,1,31,5,1,23,1,9.3,.934743,1.204257,0,5,1,12,2,2,9,3,0,0,0,0,0,6,0,2,29,5,3,1,0,11.6,1,0,1,1,1,14,1,0,0,0,1,0,0,1,0,0,2,2,1,1,1,3,3,4,0,40,5,4,2,1,0,30,5,9,297.47,4,98.65,0,2,72,0,38.7,2854.9,1,27,3.29583686600433,1919,0,0,0, ,1,68.5,4865,8.4898219946201,1,43.25,3.76699723337789,3159.25,8.05808993663879,1,1,1,1,1,1,1,1,0,1,22,1,1,1,0,1,0,0,1,1,0,0,1
0758-EQEGIQ-3OF,1,1,1,57,5,Octubre,17,4,4,0,24,5,0,171,5,9.5,1.803195,14.441805,0,5,1,16,3,3,1,0,1,0,0,0,0,0,1,1,8,3,2,1,1,75.8,3,0,1,1,1,19,1,1,0,0,0,0,0,0,0,0,9,5,1,0,0,4,1,1,0,19,5,3,2,4,0,13,4,14,305.94,4,96.23,1,3,48,0,4.15,214.85,1,28.75,3.35863776724336,1444.65,1,43.15,1990.25,7.59601553796869,1,29.25,1315,7.18159194461187,1,40.2,3.69386699562498,1840.45,7.51776538591923,0,1,1,3,1,1,0,1,1,1,17,1,1,1,1,1,1,1,1,0,0,0,1
0649-TBFJFL-QU4,5,2,0,63,5,Mayo,14,2,6,1,29,5,0,424,5,10.7,13.111352,32.256648,0,4,1,20,5,2,0,0,0,0,0,0,0,0,1,3,29,5,3,1,0,88.6,3,0,1,1,1,29,1,0,0,0,1,0,0,0,0,1,9,3,0,0,1,3,3,2,0,36,5,2,3,3,1,29,5,10,495.75,10,798.31,0,1,70,0,34.8,2540.15,1,45.25,3.81220267014594,3165.45,0,0,0, ,1,19.75,1325,7.18916773842032,0,0, ,0, ,1,1,0,0,1,0,1,1,1,1,24,1,1,1,0,0,0,0,0,1,0,0,0
2228-KOLOPU-FY3,5,5,1,28,3,Abril,11,1,1,0,4,2,0,23,1,4.8,.190992,.913008,0,1,1,12,2,3,10,1,0,0,0,0,0,9,1,1,5,2,0,-1,-1,-1,-1,-1,1,4,3,30,0,0,0,1,0,0,0,0,0,1,9,5,1,0,0,2,2,4,0,10,3,3,3,3,0,10,3,17,442.09,7,144.69,1,1,34,0,3.45,110.45,1,33,3.49650756146648,1099.65,0,0,0, ,1,16.5,545,6.30078579466324,0,0, ,0, ,0,0,0,0,1,1,1,1,0,1,16,1,1,1,1,0,0,0,0,0,1,0,0
3853-NVDCOJ-TIN,1,1,1,78,6,Junio,16,3,1,0,10,3,1,22,1,15.2,.692208,2.651792,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,29,5,2,1,1,10.8,1,0,1,3,2,23,1,0,1,0,0,0,0,0,0,0,9,2,0,1,0,2,3,1,0,10,3,3,2,2,0,7,3,1,8.11,0,0,1,1,14,0,7.3,85.6,0,0, ,0,1,24.85,341.75,5.83407947560406,1,31.75,350,5.85793315448346,0,0, ,0, ,1,0,0,1,0,0,0,0,1,1,22,1,1,0,0,1,1,0,0,0,0,0,0
0765-UXAFYM-PDR,3,3,0,61,5,Junio,16,3,1,0,4,2,0,35,2,10.1,1.233715,2.301285,0,3,1,12,2,2,0,0,0,0,0,0,0,0,0,2,29,5,4,0,0,9.4,1,1,0,1,1,34,1,0,0,1,0,0,0,0,0,0,9,2,0,0,0,1,4,1,0,27,5,4,2,3,0,15,4,8,271.98,7,240.38,0,3,53,0,11.2,567.05,0,0, ,0,0,0,0, ,1,9.5,480,6.17378610390194,0,0, ,0, ,0,1,0,1,1,1,1,1,0,1,25,1,1,1,0,1,1,1,0,0,0,0,0
